date,categoria_indice,precio_promedio
2024-03-07,Prendas de vestir,78362.60017903645
2024-03-07,libreria,2727.7343322753904
2024-03-07,celulares y pequenos electrodomesticos,171280.2947162829
2024-03-07,informatica,185469.57142857142
2024-03-07,Leche/ productos lacteos/ huevos y alimentos vegetales,4853.035098344852
2024-03-07,Bebidas no alcoholicas,1942.9299961970403
2024-03-07,sin TACC,1327.052490234375
2024-03-07,Bebidas alcoholicas y tabaco,5549.944986979167
2024-03-07,Aceites/ aderezos/ grasas y manteca,2546.4166666666665
2024-03-07,Carnes y derivados,6897.795454545455
2024-03-07,limpieza,4307.166666666667
2024-03-07,Azucar/ dulces/ chocolate/golosinas/ etc.,2000.6666666666667
2024-03-07,Pescados y mariscos,2632.2
2024-03-07,Otros alimentos,3033.3333333333335
2024-03-07,cuidado oral,3287.1428571428573
2024-03-07,farmacia,2607.3076923076924
2024-03-07,Calzado,76874.0
2024-03-08,Pan / pastas y cereales,2217.8403641550162
2024-03-08,Frutas,2338.3753509521484
2024-03-08,Verduras/ tuberculos y legumbres,1492.8333333333333
2024-03-08,Prendas de vestir,78225.9335123698
2024-03-08,libreria,2751.867665608724
2024-03-08,celulares y pequenos electrodomesticos,165334.71002604166
2024-03-08,informatica,202912.42857142858
2024-03-08,Leche/ productos lacteos/ huevos y alimentos vegetales,4273.691763741629
2024-03-08,Bebidas no alcoholicas,1964.2376885047327
2024-03-08,sin TACC,1327.052490234375
2024-03-08,Bebidas alcoholicas y tabaco,5567.166646321614
2024-03-08,Aceites/ aderezos/ grasas y manteca,2314.96
2024-03-08,Carnes y derivados,6680.636952275815
2024-03-08,limpieza,4336.611111111111
2024-03-08,Azucar/ dulces/ chocolate/golosinas/ etc.,2000.6666666666667
2024-03-08,Pescados y mariscos,2512.25
2024-03-08,Otros alimentos,2301.875
2024-03-08,cuidado oral,3128.8888888888887
2024-03-08,farmacia,2607.3076923076924
2024-03-08,Calzado,76874.0
2024-03-09,Pan / pastas y cereales,1941.696514423077
2024-03-09,Frutas,2232.25
2024-03-09,Verduras/ tuberculos y legumbres,2998.192791278546
2024-03-09,Prendas de vestir,73162.72602696573
2024-03-09,libreria,2751.867665608724
2024-03-09,celulares y pequenos electrodomesticos,145180.04437934028
2024-03-09,informatica,159161.2857142857
2024-03-09,Leche/ productos lacteos/ huevos y alimentos vegetales,4143.664348602295
2024-03-09,Bebidas no alcoholicas,2075.952501296997
2024-03-09,sin TACC,1327.052490234375
2024-03-09,Bebidas alcoholicas y tabaco,5515.499979654948
2024-03-09,Aceites/ aderezos/ grasas y manteca,2057.181818181818
2024-03-09,Carnes y derivados,5596.944645371548
2024-03-09,limpieza,4025.5
2024-03-09,Azucar/ dulces/ chocolate/golosinas/ etc.,3885.0
2024-03-09,Pescados y mariscos,3128.0
2024-03-09,Otros alimentos,2080.8314208984375
2024-03-09,cuidado oral,1624.5
2024-03-09,farmacia,1350.8333333333333
2024-03-09,Calzado,76874.0
2024-03-10,Pan / pastas y cereales,2165.76953125
2024-03-10,Frutas,1560.0
2024-03-10,Verduras/ tuberculos y legumbres,2836.27294921875
2024-03-10,Prendas de vestir,73162.72602696573
2024-03-10,libreria,2751.867665608724
2024-03-10,celulares y pequenos electrodomesticos,171016.183203125
2024-03-10,informatica,145389.85714285713
2024-03-10,Leche/ productos lacteos/ huevos y alimentos vegetales,4315.862056337553
2024-03-10,Bebidas no alcoholicas,1706.4861508882964
2024-03-10,sin TACC,1469.7033284505208
2024-03-10,Bebidas alcoholicas y tabaco,5515.500345865886
2024-03-10,Aceites/ aderezos/ grasas y manteca,2057.181818181818
2024-03-10,Carnes y derivados,6030.007138206845
2024-03-10,limpieza,4025.5
2024-03-10,Azucar/ dulces/ chocolate/golosinas/ etc.,3885.0
2024-03-10,Pescados y mariscos,2385.3333333333335
2024-03-10,Otros alimentos,3440.5
2024-03-10,cuidado oral,1718.6538461538462
2024-03-10,farmacia,1077.7777777777778
2024-03-10,Calzado,76874.0
