,date,categoria_indice,indice
189,2024-03-08,farmacia,93.57384866357133
190,2024-03-08,cuidado oral,118.74341134303184
191,2024-03-08,Otros alimentos,125.27210884353741
192,2024-03-08,Pescados y mariscos,94.29777916796998
193,2024-03-08,Azucar/ dulces/ chocolate/golosinas/ etc.,86.4519204131006
194,2024-03-08,limpieza,168.05313354431743
195,2024-03-08,Aceites/ aderezos/ grasas y manteca,90.20467106134866
196,2024-03-08,Carnes y derivados,115.0574813495209
197,2024-03-08,sin TACC,101.03464465622567
198,2024-03-08,Bebidas no alcoholicas,102.1500614127671
199,2024-03-08,Leche/ productos lacteos/ huevos y alimentos vegetales,95.23912397779071
200,2024-03-08,informatica,113.78672913179592
201,2024-03-08,celulares y pequenos electrodomesticos,103.14121223964104
202,2024-03-08,libreria,112.21058888596738
203,2024-03-08,Frutas,111.58365286223886
204,2024-03-08,Bebidas alcoholicas y tabaco,127.0752487176812
205,2024-03-08,Verduras/ tuberculos y legumbres,76.70381934837886
206,2024-03-09,Frutas,106.51951535509913
207,2024-03-09,Pan / pastas y cereales,83.65945504292142
208,2024-03-09,Verduras/ tuberculos y legumbres,154.05124811913004
209,2024-03-09,libreria,112.21058888596738
210,2024-03-09,Alquileres,99.23948264067651
211,2024-03-09,Calzado,100.0
212,2024-03-09,farmacia,48.48015225666123
213,2024-03-09,cuidado oral,61.65085388994307
214,2024-03-09,Otros alimentos,113.24252630739797
215,2024-03-09,Pescados y mariscos,117.41007194244604
216,2024-03-09,Azucar/ dulces/ chocolate/golosinas/ etc.,167.8768964369689
217,2024-03-09,Prendas de vestir,93.93892194449222
218,2024-03-09,limpieza,155.99689982561517
219,2024-03-09,Aceites/ aderezos/ grasas y manteca,80.16009314306858
220,2024-03-09,Bebidas alcoholicas y tabaco,125.89591371045306
221,2024-03-09,sin TACC,101.03464465622567
222,2024-03-09,Bebidas no alcoholicas,107.95978345110792
223,2024-03-09,Leche/ productos lacteos/ huevos y alimentos vegetales,92.34146598194948
224,2024-03-09,informatica,89.25250283259328
225,2024-03-09,celulares y pequenos electrodomesticos,90.56807108399377
226,2024-03-09,Carnes y derivados,96.39355629552118
227,2024-03-09,Electricidad,100.0
