,date,categoria_indice,precio_promedio,ponderador,precio_ponderado
97,2024-03-04,Azucar/ dulces/ chocolate/golosinas/ etc.,877.8375244140625,0.024368757,21.39180931792786
98,2024-03-04,limpieza,2347.1666666666665,0.021154621,49.65342125716666
99,2024-03-04,Carnes y derivados,6738.027847290039,0.190763922,1285.372618694265
100,2024-03-04,Aceites/ aderezos/ grasas y manteca,1540.0855577256943,0.010342833,15.928847729268716
101,2024-03-04,Bebidas alcoholicas y tabaco,4711.857142857143,0.066277068,312.28807626342854
102,2024-03-04,cuidado oral,3163.3333333333335,0.008681042,27.461029526666668
103,2024-03-04,sin TACC,1127.0534973144531,0.008681042,9.783998746433655
104,2024-03-04,informatica,178326.97197614398,0.021702605,3870.159833644322
105,2024-03-04,celulares y pequenos electrodomesticos,139533.8468017578,0.036171009,5047.080028471003
106,2024-03-04,libreria,2434.4535298665364,0.017362084,42.267186679639316
107,2024-03-04,Prendas de vestir,77761.7904328377,0.136322445,10600.677399382042
108,2024-03-04,Verduras/ tuberculos y legumbres,1955.4550059925425,0.058249318,113.90392047875152
109,2024-03-04,Frutas,1341.626220703125,0.026902747,36.093430784142335
110,2024-03-04,Pan / pastas y cereales,2223.445717075893,0.103988964,231.21381662895922
111,2024-03-04,Leche/ productos lacteos/ huevos y alimentos vegetales,4660.456362637607,0.080140927,373.49329314482594
112,2024-03-04,farmacia,2604.5454545454545,0.017362084,45.22033696363636
113,2024-03-04,Alquileres,440927.7397260274,0.09,39683.49657534247
114,2024-03-05,Pan / pastas y cereales,2248.0568336664246,0.103988964,233.77310114609182
115,2024-03-05,Pescados y mariscos,2996.8,0.0106384,31.88115712
116,2024-03-05,Otros alimentos,3000.0,0.01,30.0
117,2024-03-05,cuidado oral,2941.6666666666665,0.008681042,25.53673188333333
118,2024-03-05,farmacia,1225.0,0.017362084,21.2685529
119,2024-03-05,Calzado,76874.0,0.049869366,3833.657641884
120,2024-03-05,Electricidad,34786.33,0.022753423,791.50808110759
121,2024-03-05,Carnes y derivados,6688.121951219512,0.190763922,1275.852374228927
122,2024-03-05,Alquileres,441913.9383561644,0.09,39772.25445205479
123,2024-03-05,Frutas,1648.1251831054688,0.026902747,44.3390948254151
124,2024-03-05,Aceites/ aderezos/ grasas y manteca,2302.2727272727275,0.010342833,23.812022338636364
125,2024-03-05,sin TACC,1327.052490234375,0.008681042,11.520198403929198
126,2024-03-05,Bebidas no alcoholicas,1525.5778536115374,0.059435461,90.67342302079224
127,2024-03-05,Leche/ productos lacteos/ huevos y alimentos vegetales,4785.830969238281,0.080140927,383.54093034006434
128,2024-03-05,informatica,185469.57142857142,0.021702605,4025.172848233571
129,2024-03-05,celulares y pequenos electrodomesticos,149993.74164496528,0.036171009,5425.424978983713
130,2024-03-05,libreria,2746.0666666666666,0.017362084,47.67744013626667
131,2024-03-05,Prendas de vestir,76925.09694745464,0.136322445,10486.617297739052
132,2024-03-05,Verduras/ tuberculos y legumbres,1457.2728160511363,0.058249318,84.88514767491814
133,2024-03-05,limpieza,3220.7083333333335,0.021154621,68.13286414320834
134,2024-03-05,Bebidas alcoholicas y tabaco,4560.657156808035,0.066277068,302.2669845064528
135,2024-03-05,Azucar/ dulces/ chocolate/golosinas/ etc.,877.8375244140625,0.024368757,21.39180931792786
136,2024-03-06,Electricidad,34786.33,0.022753423,791.50808110759
137,2024-03-06,Alquileres,441913.9383561644,0.09,39772.25445205479
138,2024-03-06,Aceites/ aderezos/ grasas y manteca,2095.4545454545455,0.010342833,21.672936422727272
139,2024-03-06,farmacia,2543.5714285714284,0.017362084,44.16170080285714
140,2024-03-06,Calzado,76874.0,0.049869366,3833.657641884
141,2024-03-06,cuidado oral,2965.3846153846152,0.008681042,25.74262839230769
142,2024-03-06,Otros alimentos,1255.625,0.01,12.55625
143,2024-03-06,Pescados y mariscos,2147.714285714286,0.0106384,22.848243657142856
144,2024-03-06,Azucar/ dulces/ chocolate/golosinas/ etc.,2010.0,0.024368757,48.98120157
145,2024-03-06,limpieza,4084.85,0.021154621,86.41345359184999
146,2024-03-06,Bebidas alcoholicas y tabaco,5439.7216796875,0.066277068,360.52880366572265
147,2024-03-06,sin TACC,1327.052490234375,0.008681042,11.520198403929198
148,2024-03-06,Bebidas no alcoholicas,1804.1492821829659,0.059435461,107.23044429936367
149,2024-03-06,Carnes y derivados,6710.0,0.190763922,1280.02591662
150,2024-03-06,informatica,192167.0,0.021702605,4170.524495035
151,2024-03-06,celulares y pequenos electrodomesticos,162351.64618389422,0.036171009,5872.422855282453
152,2024-03-06,libreria,2746.067665608724,0.017362084,47.67745747998258
153,2024-03-06,Prendas de vestir,76925.09694745464,0.136322445,10486.617297739052
154,2024-03-06,Verduras/ tuberculos y legumbres,1266.9585266113281,0.058249318,73.79947010939472
155,2024-03-06,Frutas,2668.625,0.026902747,71.793343212875
156,2024-03-06,Pan / pastas y cereales,2237.048662458147,0.103988964,232.62837282660843
157,2024-03-06,Leche/ productos lacteos/ huevos y alimentos vegetales,5126.604707416735,0.080140927,410.85085361494095
158,2024-03-07,Bebidas alcoholicas y tabaco,5549.944986979167,0.066277068,367.83408129827734
159,2024-03-07,Aceites/ aderezos/ grasas y manteca,2546.4166666666665,0.010342833,26.337162331749997
160,2024-03-07,Carnes y derivados,6897.795454545455,0.190763922,1315.8505140628638
161,2024-03-07,Alquileres,426870.5369127517,0.09,38418.34832214765
162,2024-03-07,Azucar/ dulces/ chocolate/golosinas/ etc.,2000.6666666666667,0.024368757,48.75375983800001
163,2024-03-07,Pescados y mariscos,2632.2,0.0106384,28.002396479999994
164,2024-03-07,sin TACC,1327.052490234375,0.008681042,11.520198403929198
165,2024-03-07,limpieza,4307.166666666667,0.021154621,91.11647841716666
166,2024-03-07,Bebidas no alcoholicas,1942.9299961970403,0.059435461,115.47894001469933
167,2024-03-07,Calzado,76874.0,0.049869366,3833.657641884
168,2024-03-07,informatica,185469.57142857142,0.021702605,4025.172848233571
169,2024-03-07,celulares y pequenos electrodomesticos,171280.2947162829,0.036171009,6195.381081705321
170,2024-03-07,libreria,2727.7343322753904,0.017362084,47.35915260664924
171,2024-03-07,Prendas de vestir,78362.60017903645,0.136322445,10682.581252963686
172,2024-03-07,Verduras/ tuberculos y legumbres,1849.7501220703125,0.058249318,107.74668308101245
173,2024-03-07,Frutas,2282.125,0.026902747,61.395431497375
174,2024-03-07,Pan / pastas y cereales,2284.491716251817,0.103988964,237.5619268396084
175,2024-03-07,farmacia,2607.3076923076924,0.017362084,45.26829516769231
176,2024-03-07,Electricidad,34786.33,0.022753423,791.50808110759
177,2024-03-07,Leche/ productos lacteos/ huevos y alimentos vegetales,4853.035098344852,0.080140927,388.92673154489256
178,2024-03-07,cuidado oral,3287.1428571428573,0.008681042,28.535825202857144
