,date,categoria_indice,indice
119,2024-03-06,Leche/ productos lacteos/ huevos y alimentos vegetales,114.24626957357373
120,2024-03-06,Otros alimentos,68.33333333333333
121,2024-03-06,Pan / pastas y cereales,96.38492453149999
122,2024-03-06,Pescados y mariscos,80.61486214754903
123,2024-03-06,Prendas de vestir,98.76970241726698
124,2024-03-06,Verduras/ tuberculos y legumbres,65.0980627087754
125,2024-03-06,celulares y pequenos electrodomesticos,101.28027922189258
126,2024-03-06,cuidado oral,112.53831557436868
127,2024-03-06,farmacia,91.28641342344442
128,2024-03-06,informatica,107.7610402231848
129,2024-03-06,libreria,111.97408717344963
130,2024-03-06,limpieza,158.29684169734546
131,2024-03-06,sin TACC,101.03464465622567
132,2024-03-07,Aceites/ aderezos/ grasas y manteca,99.22360550584138
133,2024-03-07,Alquileres,99.2394826406765
134,2024-03-07,Azucar/ dulces/ chocolate/golosinas/ etc.,86.4519204131006
135,2024-03-07,Bebidas alcoholicas y tabaco,126.68214989680821
136,2024-03-07,Bebidas no alcoholicas,101.04195617146505
137,2024-03-07,Calzado,100.0
138,2024-03-07,Carnes y derivados,118.79750052782205
139,2024-03-07,Electricidad,100.0
140,2024-03-07,Frutas,108.89947316821842
141,2024-03-07,Leche/ productos lacteos/ huevos y alimentos vegetales,108.14977704315736
142,2024-03-07,Otros alimentos,165.0793650793651
143,2024-03-07,Pan / pastas y cereales,98.42904419513842
144,2024-03-07,Pescados y mariscos,98.80012511729747
145,2024-03-07,Prendas de vestir,100.615416911513
146,2024-03-07,Verduras/ tuberculos y legumbres,95.04269233197921
147,2024-03-07,celulares y pequenos electrodomesticos,106.85026288199157
148,2024-03-07,cuidado oral,124.7492545405259
149,2024-03-07,farmacia,93.57384866357134
150,2024-03-07,informatica,104.00533882972172
151,2024-03-07,libreria,111.22652428905455
152,2024-03-07,limpieza,166.91209713879744
153,2024-03-07,sin TACC,101.03464465622567
154,2024-03-08,Aceites/ aderezos/ grasas y manteca,90.20467106134866
155,2024-03-08,Alquileres,99.2394826406765
156,2024-03-08,Azucar/ dulces/ chocolate/golosinas/ etc.,86.4519204131006
157,2024-03-08,Bebidas alcoholicas y tabaco,127.07524871768123
158,2024-03-08,Bebidas no alcoholicas,102.1500614127671
159,2024-03-08,Calzado,100.0
160,2024-03-08,Carnes y derivados,115.0574813495209
161,2024-03-08,Electricidad,100.0
162,2024-03-08,Frutas,111.58365286223886
163,2024-03-08,Leche/ productos lacteos/ huevos y alimentos vegetales,95.23912397779071
164,2024-03-08,Otros alimentos,125.27210884353741
165,2024-03-08,Pan / pastas y cereales,95.55732054889756
166,2024-03-08,Pescados y mariscos,94.29777916796999
167,2024-03-08,Prendas de vestir,100.43994068161307
168,2024-03-08,Verduras/ tuberculos y legumbres,76.70381934837884
169,2024-03-08,celulares y pequenos electrodomesticos,103.14121223964104
170,2024-03-08,cuidado oral,118.74341134303184
171,2024-03-08,farmacia,93.57384866357134
172,2024-03-08,informatica,113.78672913179592
173,2024-03-08,libreria,112.21058888596738
174,2024-03-08,limpieza,168.05313354431746
175,2024-03-08,sin TACC,101.03464465622567
176,2024-03-09,Aceites/ aderezos/ grasas y manteca,80.16009314306858
177,2024-03-09,Alquileres,99.2394826406765
178,2024-03-09,Azucar/ dulces/ chocolate/golosinas/ etc.,167.8768964369689
179,2024-03-09,Bebidas alcoholicas y tabaco,125.89591371045306
180,2024-03-09,Bebidas no alcoholicas,107.95978345110792
181,2024-03-09,Calzado,100.0
182,2024-03-09,Carnes y derivados,96.39355629552117
183,2024-03-09,Electricidad,100.0
184,2024-03-09,Frutas,106.51951535509912
185,2024-03-09,Leche/ productos lacteos/ huevos y alimentos vegetales,92.3414659819495
186,2024-03-09,Otros alimentos,113.24252630739797
187,2024-03-09,Pan / pastas y cereales,83.65945504292142
188,2024-03-09,Pescados y mariscos,117.41007194244604
189,2024-03-09,Prendas de vestir,93.93892194449222
190,2024-03-09,Verduras/ tuberculos y legumbres,154.05124811913004
191,2024-03-09,celulares y pequenos electrodomesticos,90.56807108399379
192,2024-03-09,cuidado oral,61.65085388994307
193,2024-03-09,farmacia,48.48015225666123
194,2024-03-09,informatica,89.25250283259328
195,2024-03-09,libreria,112.21058888596738
196,2024-03-09,limpieza,155.9968998256152
197,2024-03-09,sin TACC,101.03464465622567
